dmpfc,pgacc,tpjleft,tpjright,Amy_Ce,Amy_B
-42.90635603,15.02175465,16.42738315,-1.63493856,38.98024336,30.69995235
-23.35455225,-1.457659488,-2.616704488,-30.38635896,62.49737366,75.67433565
-72.9670665,-26.24134904,16.53443562,29.02516384,7.855550035,24.65401267
22.00529386,52.86221464,91.48227761,120.9284902,52.49438138,24.35770358
-11.2745125,0.214960835,35.94457712,31.66961932,40.97700774,41.98659313
-10.46774306,20.73787909,43.70692423,41.57300847,57.7696571,67.41611597
107.9461804,17.82011788,50.61051868,39.66110893,48.81442405,44.28031043
11.94345928,51.06504914,52.76091701,59.34636158,13.77628695,-23.21522975
3.900162253,9.723607504,30.99468043,32.80188164,7.874623722,5.395127743
9.455776841,41.83806269,47.54329199,37.66939557,64.3874489,31.9122401
-32.49707049,-23.26436327,7.036782108,18.81653001,18.37024225,33.7574164
-58.45555262,5.798168114,41.11669941,-14.08195865,11.90426368,53.83534283
-47.6587379,2.250704288,21.83669741,-11.50175177,-9.825078764,14.37108827
-69.08008593,-46.3914421,2.098615103,-27.32478995,-16.52089788,13.81987478
23.8536037,13.96361654,31.68592808,43.47314682,13.94997071,-0.507759655
-41.94584216,5.93973615,16.6219289,-10.25427416,26.82793833,26.25431113
-77.25878421,22.86689853,47.15511213,49.36838809,28.14381272,7.15129716
-65.79779099,-14.59287729,-11.66011124,-17.79828311,-10.09939631,7.878829196
-45.84392993,-10.38734102,35.97346026,11.49672889,-53.29311519,-48.61990646
-70.53181703,-2.928660183,73.30104327,53.93870826,71.29663977,77.51719814
5.278646535,2.409271403,29.18124389,29.69642946,42.82532181,31.83610919
-82.67663701,-47.13696278,-3.950395578,-21.28816539,-3.197800725,-13.32061947
-53.12984705,-111.4194128,125.4561755,-8.999613628,-179.5520898,-157.7672952
-17.2862669,-7.191447095,-17.26468432,-12.31037984,3.219409075,28.55872426
-115.3342097,-51.34403356,-88.11776362,-82.83237724,-56.8185696,-44.94146836
-105.2840815,-60.42579628,-54.65770947,-74.640218,-11.29265139,-31.28770113
-23.3055078,58.21218595,22.05422758,39.84775934,49.94046852,23.84862309
-48.11281901,-13.63771781,7.262596029,-24.93790131,15.43683567,2.334405042
67.49896561,-3.401014536,123.0690407,107.8317838,87.16975997,43.32412325
40.93530505,24.50572119,24.16045203,-0.336782263,17.49051137,6.218240589
26.44251582,-7.215600398,17.23385765,-14.97235747,7.401511062,-5.844216004
-35.34200649,0.100422151,15.15128893,-21.549203,-12.34506652,-18.58842381
3.484513207,-35.58402275,-3.508381993,-7.385513225,1.299006731,9.914095867
-87.39847449,-28.70227684,-22.32088974,-32.70693838,-36.88591272,-45.59161726
-2.228605834,15.18448671,17.50145492,18.9559226,-12.57094615,16.96012179
-67.19016659,-78.73094443,-13.29328814,-17.39453932,15.33793191,-17.99434918
-25.9366331,-9.549924894,31.93052676,28.25843413,-32.08801249,-5.566460539
-71.57887014,-12.9999417,39.18178784,43.97369158,-17.79614464,-1.32883272
-49.90199713,-6.941464421,-5.925435195,-9.752717214,-4.975750093,21.68019808
-65.58728715,-72.56969463,-9.990501603,-14.45964397,-4.705008437,-34.52903748
-55.56614132,29.64062181,53.47098973,64.36233349,66.48752874,88.90061809
11.0294435,18.17258238,39.75413696,6.884136178,31.60832793,19.0510181
5.971004157,35.85815115,0.191761242,-6.631207831,9.789455275,25.92462268
21.51666284,3.107598157,-37.23447496,58.68677586,55.68506699,50.65241625
-0.032107619,-36.20283937,33.2173944,45.99028584,21.17236151,46.40115181
-97.08847763,0.492174423,10.89363052,-44.7441461,-9.297296955,-10.53182597
-70.65998343,-7.705222791,32.54367057,22.8294817,-6.229021907,20.26667471
-43.55266149,-12.15839622,35.29259477,6.805243934,51.55935074,50.79638035
7.394579122,-6.158712467,17.66516078,12.23850171,-10.07851057,5.587771189
-52.56521281,15.2705179,48.47186509,5.845266648,51.41966936,51.35861059
20.57617311,-52.8714126,13.40914809,-25.05406278,12.86844458,-45.5731654
-6.586205501,42.52452808,6.514256298,0.172651518,25.38970063,16.61978246
66.69074278,6.577682672,53.64254912,70.95588188,7.06819672,21.49156182
-29.8390242,-29.75973837,3.770721443,-12.64188613,22.84228365,20.28030947
-0.376847135,5.726075302,19.21995498,11.29162623,2.956697777,17.19135251
-16.73089945,-20.53571431,-23.81530297,-47.19733583,-15.11185926,2.807550508