tc_cont,tc_pair,tc_ends,sumperf,S_timepos
0.16737,-0.0031313,0.045801,0.086764,0.16779
0.04402,-0.015213,-0.010293,-0.0068189,-0.0089719
-0.024013,0.077194,-0.1131,0.034544,0.0036139
0.026432,0.14639,0.050561,0.070609,-0.073851
0.14068,0.0053147,-0.2259,0.13305,0.12702
-0.13081,-0.068283,0.060088,-0.018708,0.056305
-0.0462,0.022962,6.3896e-05,0.043041,-0.070934
0.074022,-0.00046426,0.047667,0.002015,0.11391
0.051084,0.046514,0.047733,-0.081979,-0.013509
-0.0099764,0.012538,0.13955,-0.12863,0.10697
0.0016875,0.02855,0.12406,-0.23077,0.24311
0.039885,0.095302,-0.017677,0.02656,-0.1364
0.075047,-0.013741,0.055712,-0.13004,0.085425
0.038095,-0.0069488,0.044881,0.21568,0.12392
0.063041,-0.073064,0.045151,-0.093343,-0.046608
-0.044293,0.12235,-0.0027518,-0.063793,0.16327
-0.072238,0.023722,0.07416,0.116,-0.094388
0.096805,0.032231,0.028253,-0.04908,0.023044
-0.022204,0.034975,-0.090183,0.070221,-0.00078632
0.030912,0.15495,-0.14131,0.00638,0.17311
0.23188,0.11888,0.073535,0.00084979,-0.01156
0.033718,-0.013529,-0.025941,-0.093017,0.08551
0.019911,0.040507,0.057245,0.04087,0.011499
-0.0038045,-0.032921,0.11409,-0.071363,0.02765
0.073474,0.1527,0.11313,-0.062092,0.0078435
0.061467,-0.087921,0.12205,-0.071259,-0.076276
-0.061234,-0.027143,0.097299,-0.013074,0.029669
0.2267,-0.035133,0.027193,0.083168,-0.068323
-0.033706,-0.106,0.1879,0.071029,-0.056328
0.075582,0.051463,0.068181,-0.059172,0.042018
0.015625,0.086899,-0.056307,0.0092537,0.172
-0.021041,0.0844,0.039785,-0.046635,0.059418
-0.024498,0.097612,0.098681,0.033427,0.24648
0.13792,-0.0079698,-0.063538,-0.017446,0.087964
-0.013894,-0.023424,0.10363,0.06948,-0.13984
0.18729,0.024113,0.061755,-0.051514,0.17307
-0.12941,0.053287,-0.0067357,0.11649,0.0049863
-0.034324,0.03006,-0.021086,-0.063582,0.008363
-0.0038042,0.023281,-0.084372,-0.10554,-0.043823
0.035196,0.019785,0.058913,-0.0095201,-0.025271
-0.059864,-0.048027,-0.053364,-0.066307,-0.045593
0.065539,0.042175,0.037021,0.11592,-0.072808
0.043432,-0.030086,0.040958,0.17506,0.11566
0.19431,0.067555,0.098672,-0.052584,-0.10133
-0.10101,-0.081281,-0.022855,-0.069306,-0.0019965
-0.040606,-0.07243,0.035609,-0.087971,-0.04898
0.0573,0.13309,0.0355,0.020392,-0.014738
0.098691,0.04937,0.071317,0.06629,-0.059916
0.069658,0.056159,-0.00319,-0.11373,0.013486
-0.11113,0.0019901,0.16386,0.089303,0.026094
0.079425,-0.033209,0.025316,-0.12021,0.057482
0.053015,-0.071001,0.0058049,-0.099558,0.0098345
0.13496,0.012665,0.065315,0.0071447,0.09411
-0.027492,0.0094385,0.066808,0.14203,-0.054705
-0.056459,0.087452,-0.0044208,0.11213,0.01685
0.1653,0.15259,0.029292,-0.032853,-0.022957